date,blend75_100bps
2020-10-03,0.0
2020-10-04,0.0
2020-10-05,0.0
2020-10-06,0.0
2020-10-07,0.0
2020-10-08,0.0
2020-10-09,0.0
2020-10-10,0.0
2020-10-11,0.0
2020-10-12,0.0
2020-10-13,0.0
2020-10-14,0.0
2020-10-15,0.0
2020-10-16,0.0
2020-10-17,0.0
2020-10-18,0.0
2020-10-19,0.0
2020-10-20,0.0
2020-10-21,0.0
2020-10-22,0.0
2020-10-23,0.0
2020-10-24,0.0
2020-10-25,0.0
2020-10-26,0.0
2020-10-27,0.0
2020-10-28,0.0
2020-10-29,0.0
2020-10-30,0.0
2020-10-31,0.0
2020-11-01,0.0
2020-11-02,0.0
2020-11-03,0.0
2020-11-04,0.0
2020-11-05,0.0
2020-11-06,0.0
2020-11-07,0.0
2020-11-08,0.0
2020-11-09,0.0
2020-11-10,0.0
2020-11-11,0.0
2020-11-12,0.0
2020-11-13,0.0
2020-11-14,0.0
2020-11-15,0.0
2020-11-16,0.0
2020-11-17,0.0
2020-11-18,0.0
2020-11-19,0.0
2020-11-20,0.0
2020-11-21,0.0
2020-11-22,0.0
2020-11-23,0.0
2020-11-24,0.0
2020-11-25,0.0
2020-11-26,0.0
2020-11-27,0.0
2020-11-28,0.0
2020-11-29,0.0
2020-11-30,0.0
2020-12-01,0.0
2020-12-02,0.0
2020-12-03,0.0
2020-12-04,0.0
2020-12-05,0.0
2020-12-06,0.0
2020-12-07,0.0
2020-12-08,0.0
2020-12-09,0.0
2020-12-10,0.0
2020-12-11,0.0
2020-12-12,0.0
2020-12-13,0.0
2020-12-14,0.0
2020-12-15,0.0
2020-12-16,0.0
2020-12-17,0.0
2020-12-18,0.0
2020-12-19,0.0
2020-12-20,0.0
2020-12-21,0.0
2020-12-22,0.0
2020-12-23,0.0
2020-12-24,0.0
2020-12-25,0.0
2020-12-26,0.0
2020-12-27,0.0
2020-12-28,0.0
2020-12-29,0.0
2020-12-30,0.0
2020-12-31,0.0
2021-01-01,-0.06437702130873607
2021-01-02,0.05753191585584394
2021-01-03,0.04971074536503084
2021-01-04,-0.032371023514597586
2021-01-05,0.013773808143639599
2021-01-06,-0.01574580780614306
2021-01-07,-0.04357429996351144
2021-01-08,-0.0030833910960569124
2021-01-09,0.039258816592921485
2021-01-10,-0.035903925884087175
2021-01-11,-0.052264743647837564
2021-01-12,0.07084381098370969
2021-01-13,0.03820668901267262
2021-01-14,-0.04059143443601937
2021-01-15,0.011084052946006192
2021-01-16,0.028550740592723223
2021-01-17,-0.022564571770086455
2021-01-18,-0.0077589649104101155
2021-01-19,-0.014896862592850058
2021-01-20,0.027506277478499097
2021-01-21,-0.05352993798999942
2021-01-22,0.04023398070904279
2021-01-23,0.02941023244323034
2021-01-24,0.03904801431280639
2021-01-25,-0.02742949155308888
2021-01-26,0.07207298379405186
2021-01-27,0.01526848936951151
2021-01-28,-0.005843102472104955
2021-01-29,0.034859025020135416
2021-01-30,0.011740554083229974
2021-01-31,-0.002860994718041724
2021-02-01,0.024843138934306046
2021-02-02,-0.01816496590035908
2021-02-03,0.06935343695592029
2021-02-04,0.11313449668621427
2021-02-05,0.02984910584120785
2021-02-06,-0.01987540648769563
2021-02-07,0.006950284290541527
2021-02-08,0.018211855731020205
2021-02-09,0.015702890968221066
2021-02-10,-0.01991754760514186
2021-02-11,-0.024882023703810745
2021-02-12,0.023706025631095567
2021-02-13,-0.014876223943937986
2021-02-14,-0.005281658233442639
2021-02-15,0.013829109784091872
2021-02-16,0.01911115150750244
2021-02-17,0.028006876894619188
2021-02-18,0.059292349374718056
2021-02-19,0.2639062704519693
2021-02-20,-0.11244574870367134
2021-02-21,0.02203829071126943
2021-02-22,-0.030585327239702198
2021-02-23,-0.07177907481590123
2021-02-24,0.02232022245508969
2021-02-25,-0.007407910588717241
2021-02-26,0.015118846239075204
2021-02-27,0.014181634274555766
2021-02-28,-0.007898867998789064
2021-03-01,-0.005131545457086384
2021-03-02,-0.021989088482805896
2021-03-03,-0.0030256278570962394
2021-03-04,-0.034344685184552005
2021-03-05,0.018763573699141018
2021-03-06,-0.01349587999745148
2021-03-07,0.018258715819105098
2021-03-08,0.07230561931184043
2021-03-09,0.055047197625653244
2021-03-10,0.13015724074598112
2021-03-11,0.04406285817015654
2021-03-12,-0.003522565400301103
2021-03-13,-0.012103241582578084
2021-03-14,0.05233642777901848
2021-03-15,-0.05697757707721329
2021-03-16,0.03592292597253207
2021-03-17,0.01427749973068145
2021-03-18,0.02180042738733527
2021-03-19,0.0036080879469125304
2021-03-20,0.010916328332903938
2021-03-21,0.04459633199924732
2021-03-22,-0.009401225013823677
2021-03-23,0.10075862624492483
2021-03-24,-0.07393516275902344
2021-03-25,0.09061180090130772
2021-03-26,-0.020540320090416175
2021-03-27,-0.04053840123332595
2021-03-28,0.026870119969743905
2021-03-29,0.00846844252654666
2021-03-30,0.013743491416200052
2021-03-31,0.014232332796954794
2021-04-01,-0.017520142500267344
2021-04-02,-0.01892862139463501
2021-04-03,-0.022801120392340685
2021-04-04,0.035104309955730294
2021-04-05,0.002514581257538062
2021-04-06,-0.023681610942982417
2021-04-07,-0.04486822906356678
2021-04-08,0.015527523630461578
2021-04-09,0.00011915146698765477
2021-04-10,0.0014738555421529205
2021-04-11,0.007949177106064428
2021-04-12,0.01694600039555605
2021-04-13,0.08529195412245445
2021-04-14,0.01162984001414158
2021-04-15,-0.01859478376842179
2021-04-16,0.08180772149120574
2021-04-17,-0.03903215913028548
2021-04-18,0.07170464084415684
2021-04-19,0.05237699460124582
2021-04-20,-0.06453504242949147
2021-04-21,-0.04072226888489391
2021-04-22,-0.04809905509295157
2021-04-23,-0.013663342633520759
2021-04-24,0.015557648807278168
2021-04-25,0.04417169026036601
2021-04-26,-0.03895760392033756
2021-04-27,-0.008179093572215043
2021-04-28,0.01774558056547045
2021-04-29,-0.02598716582593887
2021-04-30,-0.004475016122363136
2021-05-01,0.004917025561159694
2021-05-02,-0.034011282417351296
2021-05-03,-0.010507244151123918
2021-05-04,-0.035543537645250776
2021-05-05,0.030412342915980495
2021-05-06,-0.021100226823307238
2021-05-07,-0.015619103361186437
2021-05-08,0.005173063021305047
2021-05-09,-0.02484148776009204
2021-05-10,-0.024248947800778093
2021-05-11,0.02644932053181115
2021-05-12,-0.0921769933809537
2021-05-13,0.0011490237647046226
2021-05-14,-0.0045060072162166525
2021-05-15,0.0
2021-05-16,0.0
2021-05-17,0.0
2021-05-18,0.0
2021-05-19,0.0
2021-05-20,0.0
2021-05-21,0.0
2021-05-22,0.0
2021-05-23,0.0
2021-05-24,0.0
2021-05-25,0.0
2021-05-26,0.0
2021-05-27,0.0
2021-05-28,0.0
2021-05-29,0.0
2021-05-30,0.0
2021-05-31,0.0
2021-06-01,0.0
2021-06-02,0.0
2021-06-03,0.0
2021-06-04,0.0
2021-06-05,0.0
2021-06-06,0.0
2021-06-07,0.0
2021-06-08,0.0
2021-06-09,0.0
2021-06-10,0.0
2021-06-11,0.0
2021-06-12,0.0
2021-06-13,0.0
2021-06-14,0.0
2021-06-15,0.0
2021-06-16,0.0
2021-06-17,0.0
2021-06-18,0.0
2021-06-19,0.0
2021-06-20,0.0
2021-06-21,0.0
2021-06-22,0.0
2021-06-23,0.0
2021-06-24,0.0
2021-06-25,0.0
2021-06-26,0.0
2021-06-27,0.0
2021-06-28,0.0
2021-06-29,0.0
2021-06-30,0.0
2021-07-01,0.0
2021-07-02,0.0
2021-07-03,0.0
2021-07-04,0.0
2021-07-05,0.0
2021-07-06,0.0
2021-07-07,0.0
2021-07-08,0.0
2021-07-09,0.0
2021-07-10,0.0
2021-07-11,0.0
2021-07-12,0.0
2021-07-13,0.0
2021-07-14,0.0
2021-07-15,0.0
2021-07-16,0.0
2021-07-17,0.0
2021-07-18,0.0
2021-07-19,0.0
2021-07-20,0.0
2021-07-21,0.0
2021-07-22,0.0
2021-07-23,0.0
2021-07-24,0.0
2021-07-25,0.0
2021-07-26,0.0
2021-07-27,0.0
2021-07-28,0.0
2021-07-29,0.0
2021-07-30,0.0
2021-07-31,0.0
2021-08-01,0.03361929756248572
2021-08-02,0.017161619024375702
2021-08-03,0.059465786309338374
2021-08-04,-0.006617853915970084
2021-08-05,0.0
2021-08-06,-0.007225686163828071
2021-08-07,0.0032291542667809425
2021-08-08,-0.0420448862877012
2021-08-09,0.020755457598303217
2021-08-10,0.10178130261670626
2021-08-11,0.009039517779096617
2021-08-12,-0.014842505998875433
2021-08-13,0.04120000844994265
2021-08-14,-0.012783960585163456
2021-08-15,0.03379750447283345
2021-08-16,0.04498248916404816
2021-08-17,0.04252716098722148
2021-08-18,0.12012396199938287
2021-08-19,0.0164222373830711
2021-08-20,0.011806437979479723
2021-08-21,-0.031049895552690814
2021-08-22,0.022001290833483216
2021-08-23,0.033150156739365354
2021-08-24,-0.041995311258005596
2021-08-25,-0.06358590422654815
2021-08-26,-0.05364656787244817
2021-08-27,0.09842830662993429
2021-08-28,0.01311292483452553
2021-08-29,-0.026797520666709207
2021-08-30,0.007909866197737184
2021-08-31,-0.020811846956900897
2021-09-01,0.009950107755946772
2021-09-02,0.0897806226012648
2021-09-03,0.08915575154997624
2021-09-04,-0.033074998088335895
2021-09-05,0.013546352264917516
2021-09-06,0.046341899849499636
2021-09-07,-0.023454322211783635
2021-09-08,0.05656665018718746
2021-09-09,-0.005999964895281447
2021-09-10,-0.03474092884160392
2021-09-11,-0.007298970949305779
2021-09-12,-0.015215399899854487
2021-09-13,-0.018801083349992476
2021-09-14,-0.040657708741958586
2021-09-15,-0.0025339562818624817
2021-09-16,-0.014565678081906341
2021-09-17,-0.039937270640122424
2021-09-18,0.023128193440459393
2021-09-19,-0.003286884085528944
2021-09-20,-0.1038476675434845
2021-09-21,-0.03480963998687272
2021-09-22,0.0947868861923242
2021-09-23,0.013497043965020272
2021-09-24,0.011067078668549502
2021-09-25,-0.027967650984014533
2021-09-26,0.0009261744718589704
2021-09-27,-0.020168951049180484
2021-09-28,-0.03341442118790028
2021-09-29,0.0026889165756130706
2021-09-30,0.019029370636961737
2021-10-01,-0.0032598011348665135
2021-10-02,0.02141260456326699
2021-10-03,0.006257586134706607
2021-10-04,0.018681661329844806
2021-10-05,-0.01549749202037685
2021-10-06,-0.020344176152479052
2021-10-07,0.007620143859019102
2021-10-08,-0.001560842666670198
2021-10-09,-0.011507508903633631
2021-10-10,-0.005317186776020018
2021-10-11,0.049602741943306085
2021-10-12,-0.017879677139012395
2021-10-13,0.0006967508888080509
2021-10-14,-0.01800950431322612
2021-10-15,-0.029112374925950275
2021-10-16,-0.016962192807130832
2021-10-17,-0.009012556703091035
2021-10-18,-0.008938157940426017
2021-10-19,-0.001982365020988549
2021-10-20,0.034811046712254066
2021-10-21,-0.025496425905433457
2021-10-22,-0.019561457087041583
2021-10-23,0.0479812144140368
2021-10-24,-0.005015992949367054
2021-10-25,0.03731982930676736
2021-10-26,0.004985626368095593
2021-10-27,0.20821264651723523
2021-10-28,-0.06358486785622058
2021-10-29,0.010144869542872748
2021-10-30,-0.0462353343201386
2021-10-31,0.013727559598695241
2021-11-01,0.0015940698420494985
2021-11-02,0.007671010415333135
2021-11-03,-0.0023546271611192826
2021-11-04,-0.021914590735018707
2021-11-05,0.03938550933273873
2021-11-06,-0.015707987973687405
2021-11-07,0.006230018196816789
2021-11-08,0.0015498759228757726
2021-11-09,-0.04210899431331525
2021-11-10,-0.02502512670705607
2021-11-11,0.015999302831527507
2021-11-12,-0.03203924607781696
2021-11-13,0.025053003296593362
2021-11-14,0.06874557692703087
2021-11-15,-0.02789184851238859
2021-11-16,-0.06571125191927733
2021-11-17,0.12385363570505474
2021-11-18,-0.03918626818127643
2021-11-19,0.05840079338023171
2021-11-20,0.031163565449240982
2021-11-21,0.11128297091382308
2021-11-22,-0.0010680733125271503
2021-11-23,0.057010511704360126
2021-11-24,-0.02441341248924747
2021-11-25,-0.004163737058961919
2021-11-26,-0.09932795935722259
2021-11-27,-0.0019383010104950665
2021-11-28,0.012054895101516944
2021-11-29,0.0005922753822632243
2021-11-30,-0.00526323986767864
2021-12-01,-0.0005958996983128351
2021-12-02,-0.00708985905558251
2021-12-03,-0.02940566142841973
2021-12-04,0.0948485729203899
2021-12-05,-0.00520313942275652
2021-12-06,0.0
2021-12-07,0.0
2021-12-08,0.0
2021-12-09,0.0
2021-12-10,0.0
2021-12-11,0.0
2021-12-12,0.0
2021-12-13,0.0
2021-12-14,0.0
2021-12-15,0.0
2021-12-16,0.0
2021-12-17,0.0
2021-12-18,0.0
2021-12-19,0.0
2021-12-20,0.0
2021-12-21,0.0
2021-12-22,0.0
2021-12-23,0.0
2021-12-24,0.0
2021-12-25,0.0
2021-12-26,0.0
2021-12-27,0.0
2021-12-28,0.0
2021-12-29,0.0
2021-12-30,0.0
2021-12-31,0.0
2022-01-01,0.0
2022-01-02,0.0
2022-01-03,0.0
2022-01-04,0.0
2022-01-05,0.0
2022-01-06,0.0
2022-01-07,0.0
2022-01-08,0.0
2022-01-09,0.0
2022-01-10,0.0
2022-01-11,0.0
2022-01-12,0.0
2022-01-13,0.0
2022-01-14,0.0
2022-01-15,0.0
2022-01-16,0.0
2022-01-17,0.0
2022-01-18,0.0
2022-01-19,0.0
2022-01-20,0.0
2022-01-21,0.0
2022-01-22,0.0
2022-01-23,0.0
2022-01-24,0.0
2022-01-25,0.0
2022-01-26,0.0
2022-01-27,0.0
2022-01-28,0.0
2022-01-29,0.0
2022-01-30,0.0
2022-01-31,0.0
2022-02-01,0.0
2022-02-02,0.0
2022-02-03,0.0
2022-02-04,0.0
2022-02-05,0.0
2022-02-06,0.0
2022-02-07,0.0
2022-02-08,0.0
2022-02-09,0.0
2022-02-10,0.0
2022-02-11,0.0
2022-02-12,0.0
2022-02-13,0.0
2022-02-14,0.0
2022-02-15,0.0
2022-02-16,0.0
2022-02-17,0.0
2022-02-18,0.0
2022-02-19,0.0
2022-02-20,0.0
2022-02-21,0.0
2022-02-22,0.0
2022-02-23,0.0
2022-02-24,0.0
2022-02-25,0.0
2022-02-26,0.0
2022-02-27,0.0
2022-02-28,0.0
2022-03-01,0.0
2022-03-02,0.0
2022-03-03,0.0
2022-03-04,0.0
2022-03-05,0.0
2022-03-06,0.0
2022-03-07,0.0
2022-03-08,0.0
2022-03-09,0.0
2022-03-10,0.0
2022-03-11,0.0
2022-03-12,0.0
2022-03-13,0.0
2022-03-14,0.0
2022-03-15,0.0
2022-03-16,0.0
2022-03-17,0.0
2022-03-18,0.0
2022-03-19,0.0
2022-03-20,0.0
2022-03-21,0.0
2022-03-22,0.0
2022-03-23,0.0
2022-03-24,-0.002405817899179208
2022-03-25,-0.022875926259853907
2022-03-26,0.026212917389678403
2022-03-27,0.029144068398343232
2022-03-28,-0.015235140753641666
2022-03-29,0.016127254088756038
2022-03-30,-0.0005511988840936066
2022-03-31,-0.03682454630761669
2022-04-01,0.02246889717911073
2022-04-02,-0.021064937765202296
2022-04-03,0.016898918867555384
2022-04-04,-0.026762667911274445
2022-04-05,-0.02751865764840994
2022-04-06,-0.11372294832910095
2022-04-07,0.02888291710327695
2022-04-08,-0.009661436453344293
2022-04-09,0.009829418176551289
2022-04-10,-0.013463992599008823
2022-04-11,-0.04999742443727195
2022-04-12,0.01042156249280841
2022-04-13,-0.006381653956196151
2022-04-14,0.0
2022-04-15,0.0
2022-04-16,0.0
2022-04-17,0.0
2022-04-18,0.0
2022-04-19,0.0
2022-04-20,0.0
2022-04-21,-0.03128435088877539
2022-04-22,-0.00023226364741993355
2022-04-23,-0.004186864194686307
2022-04-24,0.0
2022-04-25,0.0
2022-04-26,0.0
2022-04-27,0.0
2022-04-28,0.0
2022-04-29,0.0
2022-04-30,0.0
2022-05-01,0.0
2022-05-02,0.0
2022-05-03,0.0
2022-05-04,0.0
2022-05-05,0.0
2022-05-06,0.0
2022-05-07,0.0
2022-05-08,0.0
2022-05-09,0.0
2022-05-10,0.0
2022-05-11,0.0
2022-05-12,0.0
2022-05-13,0.0
