date,blend25_20bps
2020-10-03,0.0
2020-10-04,0.0
2020-10-05,0.0
2020-10-06,0.0
2020-10-07,0.0
2020-10-08,0.0
2020-10-09,0.0
2020-10-10,0.0
2020-10-11,0.0
2020-10-12,0.0
2020-10-13,0.0
2020-10-14,0.0
2020-10-15,0.0
2020-10-16,0.0
2020-10-17,0.0
2020-10-18,0.0
2020-10-19,0.0
2020-10-20,0.0
2020-10-21,0.0
2020-10-22,0.0
2020-10-23,0.0
2020-10-24,0.0
2020-10-25,0.0
2020-10-26,0.0
2020-10-27,0.0
2020-10-28,0.0
2020-10-29,0.0
2020-10-30,0.0
2020-10-31,0.0
2020-11-01,0.0
2020-11-02,0.0
2020-11-03,0.0
2020-11-04,0.0
2020-11-05,0.0
2020-11-06,0.0
2020-11-07,0.0
2020-11-08,0.0
2020-11-09,0.0
2020-11-10,0.0
2020-11-11,0.0
2020-11-12,0.0
2020-11-13,0.0
2020-11-14,0.0
2020-11-15,0.0
2020-11-16,0.0
2020-11-17,0.0
2020-11-18,0.0
2020-11-19,0.0
2020-11-20,0.0
2020-11-21,0.0
2020-11-22,0.0
2020-11-23,0.0
2020-11-24,0.0
2020-11-25,0.0
2020-11-26,0.0
2020-11-27,0.0
2020-11-28,0.0
2020-11-29,0.0
2020-11-30,0.0
2020-12-01,0.0
2020-12-02,0.0
2020-12-03,0.0
2020-12-04,0.0
2020-12-05,0.0
2020-12-06,0.0
2020-12-07,0.0
2020-12-08,0.0
2020-12-09,0.0
2020-12-10,0.0
2020-12-11,0.0
2020-12-12,0.0
2020-12-13,0.0
2020-12-14,0.0
2020-12-15,0.0
2020-12-16,0.0
2020-12-17,0.0
2020-12-18,0.0
2020-12-19,0.0
2020-12-20,0.0
2020-12-21,0.0
2020-12-22,0.0
2020-12-23,0.0
2020-12-24,0.0
2020-12-25,0.0
2020-12-26,0.0
2020-12-27,0.0
2020-12-28,0.0
2020-12-29,0.0
2020-12-30,0.0
2020-12-31,0.0
2021-01-01,-0.06018211298894982
2021-01-02,0.05753191585584394
2021-01-03,0.04971074536503084
2021-01-04,-0.032371023514597586
2021-01-05,0.013773808143639599
2021-01-06,-0.007285772013676232
2021-01-07,-0.03835701895750265
2021-01-08,-0.0030833910960569124
2021-01-09,0.039258816592921485
2021-01-10,-0.035903925884087175
2021-01-11,-0.049729666779124916
2021-01-12,0.07673654820300783
2021-01-13,0.03820668901267262
2021-01-14,-0.04059143443601937
2021-01-15,0.011084052946006192
2021-01-16,0.028550740592723223
2021-01-17,-0.01758696186937181
2021-01-18,-0.0077589649104101155
2021-01-19,-0.012040152377559676
2021-01-20,0.027506277478499097
2021-01-21,-0.05352993798999942
2021-01-22,0.04023398070904279
2021-01-23,0.03175573320693433
2021-01-24,0.041380704703278835
2021-01-25,-0.025286212005003084
2021-01-26,0.07207298379405186
2021-01-27,0.01526848936951151
2021-01-28,-0.005843102472104955
2021-01-29,0.03795196974062576
2021-01-30,0.011740554083229974
2021-01-31,-0.002860994718041724
2021-02-01,0.024843138934306046
2021-02-02,-0.01816496590035908
2021-02-03,0.07419093513977774
2021-02-04,0.11313449668621427
2021-02-05,0.02984910584120785
2021-02-06,-0.01987540648769563
2021-02-07,0.006950284290541527
2021-02-08,0.02285865268864286
2021-02-09,0.015702890968221066
2021-02-10,-0.01883867732183329
2021-02-11,-0.024882023703810745
2021-02-12,0.02695928603972268
2021-02-13,-0.01329925553070995
2021-02-14,-0.005281658233442639
2021-02-15,0.013829109784091872
2021-02-16,0.01911115150750244
2021-02-17,0.02922556341354743
2021-02-18,0.062162616342702516
2021-02-19,0.2639062704519693
2021-02-20,-0.11244574870367134
2021-02-21,0.02491368525562228
2021-02-22,-0.028815293818748127
2021-02-23,-0.06939274057544581
2021-02-24,0.02232022245508969
2021-02-25,-0.007407910588717241
2021-02-26,0.015118846239075204
2021-02-27,0.016020697871078144
2021-02-28,-0.00595682509192393
2021-03-01,-0.005131545457086384
2021-03-02,-0.021989088482805896
2021-03-03,-0.0030256278570962394
2021-03-04,-0.034344685184552005
2021-03-05,0.018763573699141018
2021-03-06,-0.008398905451403075
2021-03-07,0.024572272014835472
2021-03-08,0.07230561931184043
2021-03-09,0.055047197625653244
2021-03-10,0.13015724074598112
2021-03-11,0.04406285817015654
2021-03-12,-0.003522565400301103
2021-03-13,-0.012103241582578084
2021-03-14,0.05233642777901848
2021-03-15,-0.05697757707721329
2021-03-16,0.04090074517946792
2021-03-17,0.01427749973068145
2021-03-18,0.02180042738733527
2021-03-19,0.0036080879469125304
2021-03-20,0.010916328332903938
2021-03-21,0.04459633199924732
2021-03-22,-0.009401225013823677
2021-03-23,0.10315063846478235
2021-03-24,-0.0721155417210237
2021-03-25,0.09061180090130772
2021-03-26,-0.020540320090416175
2021-03-27,-0.04053840123332595
2021-03-28,0.029209623685342783
2021-03-29,0.00846844252654666
2021-03-30,0.013743491416200052
2021-03-31,0.014232332796954794
2021-04-01,-0.014609980445812057
2021-04-02,-0.01892862139463501
2021-04-03,-0.018317185471736497
2021-04-04,0.035104309955730294
2021-04-05,0.002514581257538062
2021-04-06,-0.021757176427088704
2021-04-07,-0.04486822906356678
2021-04-08,0.02020937683233437
2021-04-09,0.00011915146698765477
2021-04-10,0.0014738555421529205
2021-04-11,0.01015891615753084
2021-04-12,0.01694600039555605
2021-04-13,0.09033897751840543
2021-04-14,0.01162984001414158
2021-04-15,-0.01859478376842179
2021-04-16,0.08482588125134323
2021-04-17,-0.03903215913028548
2021-04-18,0.07653225070308822
2021-04-19,0.05237699460124582
2021-04-20,-0.06453504242949147
2021-04-21,-0.03832420820520673
2021-04-22,-0.04809905509295157
2021-04-23,-0.009229965076443395
2021-04-24,0.015557648807278168
2021-04-25,0.04417169026036601
2021-04-26,-0.03678289373207747
2021-04-27,-0.008179093572215043
2021-04-28,0.01774558056547045
2021-04-29,-0.02598716582593887
2021-04-30,-0.0021613795957577397
2021-05-01,0.0073341814616726215
2021-05-02,-0.02913743020714088
2021-05-03,-0.010507244151123918
2021-05-04,-0.035543537645250776
2021-05-05,0.03238738283074024
2021-05-06,-0.021100226823307238
2021-05-07,-0.01126326985096667
2021-05-08,0.005173063021305047
2021-05-09,-0.02484148776009204
2021-05-10,-0.021429322595424665
2021-05-11,0.02644932053181115
2021-05-12,-0.08909064481340588
2021-05-13,0.0011490237647046226
2021-05-14,-0.0009012014432433305
2021-05-15,0.0
2021-05-16,0.0
2021-05-17,0.0
2021-05-18,0.0
2021-05-19,0.0
2021-05-20,0.0
2021-05-21,0.0
2021-05-22,0.0
2021-05-23,0.0
2021-05-24,0.0
2021-05-25,0.0
2021-05-26,0.0
2021-05-27,0.0
2021-05-28,0.0
2021-05-29,0.0
2021-05-30,0.0
2021-05-31,0.0
2021-06-01,0.0
2021-06-02,0.0
2021-06-03,0.0
2021-06-04,0.0
2021-06-05,0.0
2021-06-06,0.0
2021-06-07,0.0
2021-06-08,0.0
2021-06-09,0.0
2021-06-10,0.0
2021-06-11,0.0
2021-06-12,0.0
2021-06-13,0.0
2021-06-14,0.0
2021-06-15,0.0
2021-06-16,0.0
2021-06-17,0.0
2021-06-18,0.0
2021-06-19,0.0
2021-06-20,0.0
2021-06-21,0.0
2021-06-22,0.0
2021-06-23,0.0
2021-06-24,0.0
2021-06-25,0.0
2021-06-26,0.0
2021-06-27,0.0
2021-06-28,0.0
2021-06-29,0.0
2021-06-30,0.0
2021-07-01,0.0
2021-07-02,0.0
2021-07-03,0.0
2021-07-04,0.0
2021-07-05,0.0
2021-07-06,0.0
2021-07-07,0.0
2021-07-08,0.0
2021-07-09,0.0
2021-07-10,0.0
2021-07-11,0.0
2021-07-12,0.0
2021-07-13,0.0
2021-07-14,0.0
2021-07-15,0.0
2021-07-16,0.0
2021-07-17,0.0
2021-07-18,0.0
2021-07-19,0.0
2021-07-20,0.0
2021-07-21,0.0
2021-07-22,0.0
2021-07-23,0.0
2021-07-24,0.0
2021-07-25,0.0
2021-07-26,0.0
2021-07-27,0.0
2021-07-28,0.0
2021-07-29,0.0
2021-07-30,0.0
2021-07-31,0.0
2021-08-01,0.03867925971816285
2021-08-02,0.017161619024375702
2021-08-03,0.059465786309338374
2021-08-04,-0.0013235707831940242
2021-08-05,0.0
2021-08-06,-0.003058196906658317
2021-08-07,0.0032291542667809425
2021-08-08,-0.0420448862877012
2021-08-09,0.020755457598303217
2021-08-10,0.10178130261670626
2021-08-11,0.009039517779096617
2021-08-12,-0.014842505998875433
2021-08-13,0.04120000844994265
2021-08-14,-0.012783960585163456
2021-08-15,0.037314425057626534
2021-08-16,0.04498248916404816
2021-08-17,0.04252716098722148
2021-08-18,0.12012396199938287
2021-08-19,0.0164222373830711
2021-08-20,0.01896517017202526
2021-08-21,-0.027490664151741173
2021-08-22,0.022001290833483216
2021-08-23,0.033150156739365354
2021-08-24,-0.041995311258005596
2021-08-25,-0.05791400358815063
2021-08-26,-0.05089504423558892
2021-08-27,0.09842830662993429
2021-08-28,0.01311292483452553
2021-08-29,-0.026797520666709207
2021-08-30,0.011081434001254276
2021-08-31,-0.018091397673486942
2021-09-01,0.012863347987079887
2021-09-02,0.0897806226012648
2021-09-03,0.08915575154997624
2021-09-04,-0.033074998088335895
2021-09-05,0.013546352264917516
2021-09-06,0.04980735223255552
2021-09-07,-0.023454322211783635
2021-09-08,0.05656665018718746
2021-09-09,-0.005999964895281447
2021-09-10,-0.03474092884160392
2021-09-11,-0.0042534042002069046
2021-09-12,-0.015215399899854487
2021-09-13,-0.018801083349992476
2021-09-14,-0.040657708741958586
2021-09-15,0.0003055268616663683
2021-09-16,-0.008439986264642005
2021-09-17,-0.039937270640122424
2021-09-18,0.023128193440459393
2021-09-19,9.254198671123277e-05
2021-09-20,-0.10175186927950046
2021-09-21,-0.011354296170253658
2021-09-22,0.03159562873077473
2021-09-23,0.004499014655006757
2021-09-24,0.003689026222849834
2021-09-25,-0.009322550328004844
2021-09-26,0.0003087248239529901
2021-09-27,-0.0067229836830601615
2021-09-28,-0.011138140395966759
2021-09-29,0.0008963055252043569
2021-09-30,0.007984442873883854
2021-10-01,-0.0010866003782888378
2021-10-02,0.00713753485442233
2021-10-03,0.00622336183233468
2021-10-04,0.017482792948071747
2021-10-05,-0.0049442626710386
2021-10-06,-0.0187599314308747
2021-10-07,0.007054162891103999
2021-10-08,-0.00012610685579790093
2021-10-09,-0.007776426816466694
2021-10-10,-0.005317186776020018
2021-10-11,0.049602741943306085
2021-10-12,-0.017879677139012395
2021-10-13,0.0006967508888080509
2021-10-14,-0.01800950431322612
2021-10-15,-0.027282527225194086
2021-10-16,-0.012783809006523908
2021-10-17,-0.0061440134410707765
2021-10-18,-0.008938157940426017
2021-10-19,-0.001982365020988549
2021-10-20,0.034811046712254066
2021-10-21,-0.023363426294096972
2021-10-22,-0.012024424114732571
2021-10-23,0.0479812144140368
2021-10-24,-0.005015992949367054
2021-10-25,0.03731982930676736
2021-10-26,0.004985626368095593
2021-10-27,0.21532797196624834
2021-10-28,-0.06358486785622058
2021-10-29,0.012781202641431455
2021-10-30,-0.0462353343201386
2021-10-31,0.013727559598695241
2021-11-01,0.007255202049141984
2021-11-02,0.007671010415333135
2021-11-03,-0.0004625725608497315
2021-11-04,-0.021914590735018707
2021-11-05,0.03938550933273873
2021-11-06,-0.012955052798626798
2021-11-07,0.010132168310447942
2021-11-08,0.004489921186910643
2021-11-09,-0.038485327003827806
2021-11-10,-0.021278428364101782
2021-11-11,0.015999302831527507
2021-11-12,-0.027567129777150607
2021-11-13,0.029123957969121445
2021-11-14,0.06874557692703087
2021-11-15,-0.02789184851238859
2021-11-16,-0.06209234745703923
2021-11-17,0.12798672540275247
2021-11-18,-0.03918626818127643
2021-11-19,0.01905241588468189
2021-11-20,0.03080834676829037
2021-11-21,0.09853512036103994
2021-11-22,1.883744268659415e-05
2021-11-23,0.019898632271725614
2021-11-24,-0.00813780416308249
2021-11-25,-0.0013879123529873065
2021-11-26,-0.08868572416724417
2021-11-27,0.0011327490476525555
2021-11-28,0.004018298367172314
2021-11-29,0.00019742512742107476
2021-11-30,-0.0017544132892262133
2021-12-01,-9.239505665478709e-05
2021-12-02,-0.0026569508112872183
2021-12-03,-0.007687444567569687
2021-12-04,0.0316161909734633
2021-12-05,-0.00034687596151709854
2021-12-06,0.0
2021-12-07,0.0
2021-12-08,0.0
2021-12-09,0.0
2021-12-10,0.0
2021-12-11,0.0
2021-12-12,0.0
2021-12-13,0.0
2021-12-14,0.0
2021-12-15,0.0
2021-12-16,0.0
2021-12-17,0.0
2021-12-18,0.0
2021-12-19,0.0
2021-12-20,0.0
2021-12-21,0.0
2021-12-22,0.0
2021-12-23,0.0
2021-12-24,0.0
2021-12-25,0.0
2021-12-26,0.0
2021-12-27,0.0
2021-12-28,0.0
2021-12-29,0.0
2021-12-30,0.0
2021-12-31,0.0
2022-01-01,0.0
2022-01-02,0.0
2022-01-03,0.0
2022-01-04,0.0
2022-01-05,0.0
2022-01-06,0.0
2022-01-07,0.0
2022-01-08,0.0
2022-01-09,0.0
2022-01-10,0.0
2022-01-11,0.0
2022-01-12,0.0
2022-01-13,0.0
2022-01-14,0.0
2022-01-15,0.0
2022-01-16,0.0
2022-01-17,0.0
2022-01-18,0.0
2022-01-19,0.0
2022-01-20,0.0
2022-01-21,0.0
2022-01-22,0.0
2022-01-23,0.0
2022-01-24,0.0
2022-01-25,0.0
2022-01-26,0.0
2022-01-27,0.0
2022-01-28,0.0
2022-01-29,0.0
2022-01-30,0.0
2022-01-31,0.0
2022-02-01,0.0
2022-02-02,0.0
2022-02-03,0.0
2022-02-04,0.0
2022-02-05,0.0
2022-02-06,0.0
2022-02-07,0.0
2022-02-08,0.0
2022-02-09,0.0
2022-02-10,0.0
2022-02-11,0.0
2022-02-12,0.0
2022-02-13,0.0
2022-02-14,0.0
2022-02-15,0.0
2022-02-16,0.0
2022-02-17,0.0
2022-02-18,0.0
2022-02-19,0.0
2022-02-20,0.0
2022-02-21,0.0
2022-02-22,0.0
2022-02-23,0.0
2022-02-24,0.0
2022-02-25,0.0
2022-02-26,0.0
2022-02-27,0.0
2022-02-28,0.0
2022-03-01,0.0
2022-03-02,0.0
2022-03-03,0.0
2022-03-04,0.0
2022-03-05,0.0
2022-03-06,0.0
2022-03-07,0.0
2022-03-08,0.0
2022-03-09,0.0
2022-03-10,0.0
2022-03-11,0.0
2022-03-12,0.0
2022-03-13,0.0
2022-03-14,0.0
2022-03-15,0.0
2022-03-16,0.0
2022-03-17,0.0
2022-03-18,0.0
2022-03-19,0.0
2022-03-20,0.0
2022-03-21,0.0
2022-03-22,0.0
2022-03-23,0.0
2022-03-24,0.003980789964557696
2022-03-25,-0.01912922383972319
2022-03-26,0.026212917389678403
2022-03-27,0.029144068398343232
2022-03-28,-0.010355210789057231
2022-03-29,0.016127254088756038
2022-03-30,-0.0005511988840936066
2022-03-31,-0.03682454630761669
2022-04-01,0.032317436097292616
2022-04-02,-0.01673736608917627
2022-04-03,0.016898918867555384
2022-04-04,-0.026762667911274445
2022-04-05,-0.02751865764840994
2022-04-06,-0.1093737099330483
2022-04-07,0.037239750016115014
2022-04-08,-0.009661436453344293
2022-04-09,0.009829418176551289
2022-04-10,-0.013463992599008823
2022-04-11,-0.04524165255493114
2022-04-12,0.0029083359632816235
2022-04-13,-0.0004254435970797397
2022-04-14,0.0
2022-04-15,0.0
2022-04-16,0.0
2022-04-17,0.0
2022-04-18,0.0
2022-04-19,0.0
2022-04-20,0.0
2022-04-21,-0.009321317204127932
2022-04-22,-7.742121580664452e-05
2022-04-23,-0.0002791242796457566
2022-04-24,0.0
2022-04-25,0.0
2022-04-26,0.0
2022-04-27,0.0
2022-04-28,0.0
2022-04-29,0.0
2022-04-30,0.0
2022-05-01,0.0
2022-05-02,0.0
2022-05-03,0.0
2022-05-04,0.0
2022-05-05,0.0
2022-05-06,0.0
2022-05-07,0.0
2022-05-08,0.0
2022-05-09,0.0
2022-05-10,0.0
2022-05-11,0.0
2022-05-12,0.0
